"date","value","topic","variable_short","variable_long","location","unit","source","update","public","description"
2020-01-25,209,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-01-26,363,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-01-27,1340,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-01-28,1554,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-01-29,1483,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-01-30,856,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-01-31,544,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-02-01,160,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-02-02,490,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-02-03,1458,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-02-04,1510,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-02-05,1502,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-02-06,1557,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-02-07,925,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-02-08,288,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-02-09,433,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-02-10,1334,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-02-11,1583,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-02-12,1309,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-02-13,1306,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-02-14,822,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-02-15,135,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-02-16,263,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-02-17,1430,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-02-18,1474,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-02-19,1193,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-02-20,1137,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
2020-02-21,801,"Bildung","training_mathematik_lmvz","Nutzung des Fertigkeitstrainings 1-6 für Mathematik auf der Primarstufe","global","Anzahl Starts Fertigkeitstraining","Lehrmittelverlag Zürich","täglich","Ja","https://bildungsmonitoringzh.github.io/covid19_edu_lmvz_public/"
